No,County,Confirmed,Date
1.,Alba,468,2020-07-06
2.,Arad,707,2020-07-06
3.,Argeș,1016,2020-07-06
4.,Bacău,677,2020-07-06
5.,Bihor,696,2020-07-06
6.,Bistrița-Năsăud,574,2020-07-06
7.,Botoșani,1047,2020-07-06
8.,Brașov,1698,2020-07-06
9.,Brăila,251,2020-07-06
10.,Buzău,644,2020-07-06
11.,Caraș-Severin,119,2020-07-06
12.,Călărași,181,2020-07-06
13.,Cluj,693,2020-07-06
14.,Constanța,484,2020-07-06
15.,Covasna,299,2020-07-06
16.,Dâmbovița,683,2020-07-06
17.,Dolj,333,2020-07-06
18.,Galați,1061,2020-07-06
19.,Giurgiu,275,2020-07-06
20.,Gorj,287,2020-07-06
21.,Harghita,342,2020-07-06
22.,Hunedoara,664,2020-07-06
23.,Ialomița,444,2020-07-06
24.,Iași,1027,2020-07-06
25.,Ilfov,793,2020-07-06
26.,Maramureș,214,2020-07-06
27.,Mehedinți,208,2020-07-06
28.,Mureș,764,2020-07-06
29.,Neamț,980,2020-07-06
30.,Olt,294,2020-07-06
31.,Prahova,587,2020-07-06
32.,Satu Mare,80,2020-07-06
33.,Sălaj,120,2020-07-06
34.,Sibiu,673,2020-07-06
35.,Suceava,4090,2020-07-06
36.,Teleorman,165,2020-07-06
37.,Timiș,538,2020-07-06
38.,Tulcea,190,2020-07-06
39.,Vaslui,194,2020-07-06
40.,Vâlcea,85,2020-07-06
41.,Vrancea,1130,2020-07-06
42.,Mun. București,3411,2020-07-06
43.,Not identified,37,2020-07-06
